
1561046256.3533878	0	0.0	0.6250548	40.7486	3.24005
1561046257.4430106	0	0.0	0.6221975	40.759100000000004	3.22253
1561046258.4980671	0	0.0	0.6219555	40.7506	3.22332
1561046262.3227084	1	-5.0	-0.007319442000000001	23.1965	0.0199869
1561046263.4041417	1	-5.0	-0.007350557	23.195899999999998	0.0199219
1561046264.434556	1	-5.0	-0.007108341	23.168200000000002	0.0209166
1561046268.231571	2	-10.0	-0.018156480000000003	19.3664	0.0286432
1561046269.309493	2	-10.0	-0.01838974	19.376299999999997	0.0282191
1561046270.4420578	2	-10.0	-0.01721711	19.4194	0.0290247
1561046274.2580955	3	-15.0	-0.03798693	17.5212	0.0376761
1561046275.3247836	3	-15.0	-0.03777784	17.539199999999997	0.0392016
1561046276.498432	3	-15.0	-0.03940182	17.510199999999998	0.0393226
1561046280.3343759	4	-20.0	-0.06606768	16.3443	0.0505938
1561046281.4021933	4	-20.0	-0.06969395	16.391099999999998	0.0502114
1561046282.47136	4	-20.0	-0.06786705	16.3616	0.0522255
1561046286.331725	5	-25.0	-0.1038227	15.611	0.0661919
1561046287.4096036	5	-25.0	-0.10553710000000001	15.6009	0.0657377
1561046288.4982352	5	-25.0	-0.1065766	15.600999999999999	0.0676385
1561046292.3289144	6	-30.0	-0.1564872	15.042599999999998	0.0845521
1561046293.4003756	6	-30.0	-0.15645389999999998	15.016399999999999	0.0850567
1561046294.478177	6	-30.0	-0.15917099999999998	15.0185	0.0838329
1561046298.3311524	7	-35.0	-0.22057649999999998	14.5228	0.104629
1561046299.39276	7	-35.0	-0.2230217	14.522	0.1048
1561046300.4647844	7	-35.0	-0.2237007	14.556700000000001	0.103825
1561046304.2949228	8	-40.0	-0.3073744	14.131799999999998	0.129689
1561046305.3976586	8	-40.0	-0.3057744	14.1341	0.130766
1561046306.4968848	8	-40.0	-0.3091978	14.169400000000001	0.129118
1561046310.4154618	9	-45.0	-0.4075846	13.8323	0.163548
1561046311.5339136	9	-45.0	-0.4136338	13.8255	0.162044
1561046312.6243982	9	-45.0	-0.4149698	13.8168	0.163076
1561046316.4724889	10	-50.0	-0.5434368	13.532399999999999	0.205547
1561046317.6145766	10	-50.0	-0.5463865	13.5087	0.206401
1561046318.7007546	10	-50.0	-0.5517882000000001	13.5184	0.206706
1561046322.5336025	11	-55.0	-0.7155148	13.2493	0.261723
1561046323.667175	11	-55.0	-0.7193862	13.2487	0.261039
1561046324.740295	11	-55.0	-0.7253846	13.226999999999999	0.260863
1561046328.6535618	12	-60.0	-0.9343826	12.997300000000001	0.346453
1561046329.7705526	12	-60.0	-0.9508187	13.0075	0.343518
1561046330.8763928	12	-60.0	-0.9517137	13.0405	0.340848
1561046334.9226658	13	-65.0	-1.203346	12.7898	0.46737
1561046336.054133	13	-65.0	-1.250189	12.7845	0.469142
1561046337.1836236	13	-65.0	-1.251414	12.793199999999999	0.461079
1561046341.0672545	14	-70.0	-1.705079	12.6177	0.722191
1561046342.2217968	14	-70.0	-1.7375699999999998	12.627500000000001	0.723401
1561046343.3457105	14	-70.0	-1.727145	12.6614	0.722576
1561046347.2657213	15	-75.0	-2.5281439999999997	12.49	1.40391
1561046348.3981507	15	-75.0	-2.539087	12.4247	1.43384
1561046349.5541449	15	-75.0	-2.5585359999999997	12.5149	1.4242
1561046353.4298437	16	-80.0	-4.21502	12.5025	3.32739
1561046354.548704	16	-80.0	-4.3096820000000005	12.341600000000001	3.33226
1561046355.6351893	16	-80.0	-4.363072	12.1192	3.38212
1561046359.5730894	17	-85.0	-8.748181	10.070400000000001	9.8947
1561046360.7345889	17	-85.0	-9.500483000000001	10.2946	10.0862
1561046361.91899	17	-85.0	-9.256745	10.1935	9.97652
1561046365.9213018	18	-90.0	-20.77275	-1.1303100000000001	243.04
1561046367.0709987	18	-90.0	-18.908669999999997	-3.01307	94.6456
1561046368.1748931	18	-90.0	-16.8919	5.94661	36.6326
1561046372.0735135	19	-95.0	-32.753780000000006	-12.823	42.9634
1561046373.232157	19	-95.0	-32.84456	-12.959100000000001	43.1555
1561046374.357822	19	-95.0	-32.63324	-9.97342	57.195
1561046378.2641408	20	-100.0	-53.98238	-39.4126	30.1811
1561046379.3799393	20	-100.0	-53.61143	-31.0155	38.6077
1561046380.4853616	20	-100.0	-53.55951	-31.3862	38.3034
