U[V]	Cmean[pF]	Csem[pF]
-100.0	5.880859999999999	0.02102327598956311
-95.0	5.887576666666667	0.018308805106954394
-90.0	5.8717266666666665	0.019702492510114307
-85.0	5.84062	0.028225329640826646
-80.0	5.828403333333334	0.015552700015681315
-75.0	5.862276666666666	0.014186418779162518
-70.0	5.828803333333333	0.020691272180425352
-65.0	5.868383333333334	0.012526495031643034
-60.0	5.840070000000001	0.01998458489269501
-55.0	5.825466666666666	0.015184489162007098
-50.0	5.83411	0.018054654062964665
-45.0	5.8824000000000005	0.006070225146840316
-40.0	5.86433	0.0177125953302539
-35.0	5.882766666666666	0.02135909668293823
-30.0	5.875563333333333	0.016556966643816208
-25.0	5.89182	0.017921052796455512
-20.0	5.866786666666667	0.009601483103030202
-15.0	5.873773333333332	0.021695918458958584
-10.0	5.860673333333334	0.014327491445159247
-5.0	5.87594	0.006144724024179918
0.0	5.879806666666667	0.009839909100754576
